project_type,GSF,ownership,location,start_date,end_date,total_cost
logistics,24718,REIT,North,7/22/2024,8/2/2025,9837771.79
logistics,20042,Private,South,4/2/2025,6/12/2026,7615879.90
logistics,41678,REIT,East,7/17/2024,12/10/2025,13753628.85
logistics,21015,Private,West,1/9/2025,3/14/2026,8868179.91
logistics,17367,REIT,West,8/22/2025,8/7/2026,7120374.15
logistics,25830,Private,East,2/6/2025,7/31/2026,9453865.91
logistics,22167,REIT,North,6/9/2024,5/1/2025,7847252.81
logistics,19637,Private,South,9/13/2024,8/27/2025,6676699.40
logistics,27803,REIT,North,11/23/2024,1/14/2026,11093425.16
logistics,12389,Private,South,1/21/2025,9/21/2025,5240508.25
multifamily,20451,Public,East,8/12/2024,12/13/2027,6564726.06
multifamily,26732,REIT,West,3/4/2025,5/28/2028,10185037.49
multifamily,30514,Private,West,3/17/2025,8/22/2029,11686966.99
multifamily,13791,Public,East,3/14/2025,4/20/2028,5695682.60
multifamily,24538,REIT,North,10/25/2024,4/16/2027,8146675.66
multifamily,34188,Private,South,4/21/2025,1/28/2029,11008413.33
multifamily,25052,Public,North,3/2/2025,4/23/2030,10421813.71
multifamily,39858,REIT,South,7/15/2025,2/9/2029,12156550.05
multifamily,31707,Private,East,1/19/2025,2/10/2029,11763222.41
multifamily,29500,Public,West,8/5/2025,7/14/2030,8849925.81
office,48938,Public,West,10/18/2024,5/11/2028,15562309.75
office,67214,Private,East,4/6/2025,12/31/2029,22718476.92
office,76602,REIT,North,9/21/2024,3/24/2028,23670164.18
office,66161,Private,North,2/5/2025,7/10/2028,20311553.51
office,41939,Public,South,1/24/2025,7/6/2028,16859603.48
office,83476,Private,East,5/21/2025,11/4/2031,31470472.43
office,29303,REIT,West,4/13/2025,6/1/2027,12424284.16
office,49994,Private,West,9/15/2024,6/12/2028,19247521.39
office,79980,Public,East,7/19/2024,8/24/2030,29832418.54
office,47930,Private,North,1/19/2025,11/30/2027,16152285.09
office,61225,REIT,South,6/9/2024,12/12/2027,24183737.14
office,45450,Private,North,10/5/2024,6/22/2027,15953097.24
flex,49861,REIT,North,6/28/2025,11/29/2027,15756043.58
flex,51369,Private,South,7/7/2024,3/16/2028,21472389.38
flex,94122,REIT,East,7/1/2025,10/12/2029,28236499.64
flex,29834,Private,West,12/1/2024,1/7/2027,10531404.14
flex,54650,REIT,West,5/4/2025,6/1/2028,18089305.69
flex,75517,Private,East,7/7/2024,11/25/2029,26732975.79
flex,29108,REIT,North,12/19/2024,9/18/2026,11177518.70
flex,38332,Public,South,1/5/2025,6/10/2028,14949522.00
flex,80908,Public,North,10/2/2024,6/23/2030,28236901.15
flex,44129,Private,South,8/2/2025,7/4/2029,18666655.75
flex,39055,REIT,East,8/5/2025,1/14/2028,16481037.04
logistics,26879,Private,West,8/14/2025,12/19/2026,9837771.79
logistics,18666,REIT,West,2/18/2025,2/9/2026,7615879.90
logistics,44510,Private,East,8/17/2024,4/15/2026,13753628.85
logistics,25194,REIT,North,11/28/2024,12/27/2025,8868179.91
logistics,19615,Private,South,12/4/2024,12/6/2025,7120374.15
logistics,22780,REIT,North,6/20/2025,8/27/2026,9453865.91
logistics,21920,Private,South,8/24/2024,9/21/2025,7847252.81
logistics,16818,REIT,East,12/7/2024,11/7/2025,6676699.40
logistics,27459,Private,West,8/19/2025,12/25/2026,11093425.16
logistics,12448,REIT,West,1/31/2025,9/19/2025,5240508.25
multifamily,19195,Private,East,1/22/2025,8/10/2027,6564726.06
multifamily,25655,Public,North,6/24/2025,8/25/2030,10185037.49
multifamily,31417,Public,South,12/27/2024,6/17/2031,11686966.99
multifamily,14794,Public,North,5/9/2025,8/27/2028,5695682.60
multifamily,22443,Public,South,4/10/2025,1/25/2030,8146675.66
multifamily,30078,Private,East,12/22/2024,10/14/2028,11008413.33
multifamily,33728,Private,West,10/19/2024,9/4/2028,10421813.71
multifamily,39598,Private,West,8/1/2025,2/26/2030,12156550.05
multifamily,32317,Private,East,7/3/2025,6/6/2030,11763222.41
multifamily,25286,Private,North,6/12/2025,7/29/2028,8849925.81
office,37320,Private,South,5/19/2025,2/16/2028,15562309.75
office,66623,REIT,North,10/5/2024,9/15/2028,22718476.92
office,77102,Public,South,6/30/2024,4/11/2030,23670164.18
office,48361,Private,East,9/27/2024,4/14/2028,20311553.51
office,45444,Public,West,9/3/2024,11/10/2028,16859603.48
office,99276,Public,West,11/10/2024,6/9/2032,31470472.43
office,30229,Private,East,5/1/2025,7/20/2027,12424284.16
office,50518,REIT,North,3/16/2025,5/8/2028,19247521.39
office,70861,Private,South,2/1/2025,3/13/2030,29832418.54
office,41310,REIT,North,10/26/2024,8/12/2027,16152285.09
office,63308,Private,South,4/19/2025,7/5/2029,24183737.14
office,38910,REIT,East,5/8/2025,3/8/2028,15953097.24
flex,46341,Private,West,10/9/2024,10/11/2027,15756043.58
flex,57721,REIT,West,8/16/2025,8/5/2029,21472389.38
flex,93809,Public,East,5/7/2025,5/4/2032,28236499.64
flex,27935,Public,North,10/27/2024,6/4/2027,10531404.14
flex,45796,REIT,South,4/30/2025,6/25/2028,18089305.69
flex,72447,REIT,North,11/23/2024,6/19/2029,26732975.79
flex,37135,REIT,South,7/28/2024,11/25/2026,11177518.70
flex,35258,REIT,East,8/17/2025,3/19/2028,14949522.00
flex,82564,REIT,West,11/2/2024,3/4/2030,28236901.15
flex,47019,Private,West,9/15/2024,3/28/2028,18666655.75
flex,42477,REIT,East,6/15/2024,5/8/2027,16481037.04
