Bakersfield, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200201,46.4
200202,53.7
200203,56.9
200204,64.5
200205,70.1
200206,79.4
200207,85.2
200208,81.3
200209,78.2
200210,66.4
200211,56.8
200212,50.5
200301,51.1
200302,52.4
200303,59.0
200304,59.4
200305,71.3
200306,80.4
200307,87.6
200308,82.3
200309,81.3
200310,72.6
200311,54.6
200312,52.3
200401,49.1
200402,53.4
200403,65.3
200404,67.4
200405,71.3
200406,77.6
200407,84.1
200408,82.5
200409,76.6
200410,65.0
200411,52.5
200412,46.6
200501,48.9
200502,54.2
200503,58.2
200504,60.3
200505,69.3
200506,74.0
200507,87.8
200508,84.9
200509,73.7
200510,66.1
200511,58.1
200512,52.3
200601,49.8
200602,53.7
200603,52.5
200604,60.5
200605,72.8
200606,81.4
200607,88.1
200608,81.2
200609,77.2
200610,64.1
200611,55.6
200612,48.4
200701,44.5
200702,52.9
200703,61.7
200704,64.2
200705,73.0
200706,79.1
200707,83.7
200708,83.2
200709,74.3
200710,64.7
200711,57.9
200712,46.4
200801,49.0
200802,52.6
200803,58.1
200804,62.4
200805,70.9
200806,79.9
200807,85.0
200808,85.2
200809,79.1
200810,68.1
200811,57.8
200812,45.8
200901,50.4
200902,52.5
200903,57.1
200904,62.8
200905,76.0
200906,76.2
200907,86.9
200908,82.8
200909,81.0
200910,63.9
200911,55.2
200912,48.1
201001,50.4
201002,53.7
201003,56.4
201004,58.5
201005,65.3
201006,78.2
201007,84.4
201008,81.2
201009,77.1
201010,68.5
201011,54.1
201012,52.1
201101,46.6
201102,49.4
201103,55.6
201104,60.9
201105,65.9
201106,75.7
201107,83.3
201108,82.6
201109,79.9
201110,66.7
201111,52.9
201112,45.2
201201,51.4
201202,54.2
201203,57.3
201204,62.9
201205,71.3
201206,77.0
201207,82.6
201208,86.5
201209,80.5
201210,67.8
201211,57.9
201212,49.8
201301,46.3
201302,50.9
201303,60.1
201304,66.3
201305,72.2
201306,80.0
201307,87.2
201308,82.3
201309,76.5
201310,65.4
201311,57.7
201312,47.3
201401,53.8
201402,56.5
201403,61.8
201404,66.3
201405,73.4
201406,81.1
201407,86.9
201408,84.5
201409,80.5
201410,70.9
201411,59.0
201412,53.3
201501,49.9
201502,58.5
201503,63.9
201504,65.0
201505,69.5
201506,82.8
201507,84.1
201508,83.6
201509,80.0
201510,72.2
201511,53.0
201512,47.4
201601,51.4
201602,55.8
201603,60.0
201604,66.5
201605,72.4
201606,82.2
201607,85.8
201608,84.9
201609,78.1
201610,67.6
201611,58.6
201612,49.5
201701,49.7
201702,55.5
201703,59.5
201704,64.3
201705,72.4
201706,82.4
201707,88.7
201708,87.5
201709,78.9
201710,67.7
201711,59.7
201712,49.6
201801,53.3
201802,53.6
201803,58.4
201804,66.3
201805,71.9
201806,80.1
201807,89.1
201808,84.2
201809,78.6
201810,68.5
201811,58.2
201812,50.6
201901,53.0
201902,49.4
201903,57.0
201904,67.4
201905,67.5
201906,81.5
201907,84.7
201908,84.9
201909,77.1
201910,65.1
201911,57.9
201912,52.1
202001,48.0
202002,54.8
202003,57.1
202004,64.2
202005,73.2
202006,79.1
202007,85.5
202008,87.2
202009,80.6
202010,72.1
202011,55.4
202012,49.9
202101,51.3
202102,54.1
202103,57.2
202104,66.7
202105,74.0
202106,83.4
202107,90.0
202108,85.9
202109,80.2
202110,65.6
202111,57.3
202112,49.0
202201,50.1
202202,53.4
202203,60.8
202204,64.5
202205,71.4
202206,81.3
202207,86.8
202208,87.4
202209,82.4
202210,71.6
202211,53.3
202212,48.9
