start_mo,ttl_crew_hrs,ttl_lbr_cost,adj_crew_hrs,adj_lbr_cost
5,8027.7699999999995,8177722.22,8318.919967943715,8628405.120257042
6,8027.7699999999995,8177722.22,8355.7034975027,8478685.291537479
7,8027.7699999999995,8177722.22,8591.09164477457,8838226.11491521
8,8027.7699999999995,8177722.22,8443.6677741233,8650884.622807562
9,8027.7699999999995,8177722.22,8297.487947499287,8434562.74575765
10,8027.7699999999995,8177722.22,8191.449257414202,8277581.345185547
11,8027.7699999999995,8177722.22,8182.461556199018,8259057.0395299755
12,8027.7699999999995,8177722.22,8340.386815662721,8550533.276163891
1,8027.7699999999995,8177722.22,8517.416059522464,8805065.819452642
2,8027.7699999999995,8177722.22,8401.816935050352,8616428.951786377
3,8027.7699999999995,8177722.22,8135.569863405781,8261635.225931171
4,8027.7699999999995,8177722.22,7992.03443842796,8074802.234238648
