Bakersfield, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200201,53.9
200202,66.0
200203,69.4
200204,75.9
200205,83.8
200206,93.1
200207,99.6
200208,96.3
200209,92.1
200210,78.2
200211,67.9
200212,60.9
200301,59.7
200302,61.6
200303,71.6
200304,70.7
200305,84.4
200306,94.4
200307,101.2
200308,95.6
200309,95.5
200310,85.9
200311,64.8
200312,62.6
200401,56.5
200402,63.6
200403,78.6
200404,81.2
200405,85.4
200406,91.2
200407,98.2
200408,95.9
200409,90.9
200410,76.1
200411,62.3
200412,56.4
200501,55.5
200502,63.7
200503,69.5
200504,73.4
200505,82.5
200506,87.7
200507,101.6
200508,99.0
200509,87.6
200510,78.4
200511,70.6
200512,62.1
200601,60.3
200602,67.2
200603,62.6
200604,71.0
200605,86.3
200606,94.6
200607,101.6
200608,95.0
200609,91.4
200610,76.6
200611,65.3
200612,59.7
200701,56.5
200702,64.1
200703,75.3
200704,76.0
200705,86.8
200706,92.8
200707,97.0
200708,96.3
200709,86.2
200710,76.6
200711,68.5
200712,56.5
200801,58.0
200802,63.4
200803,70.5
200804,76.0
200805,83.1
200806,94.1
200807,97.6
200808,98.5
200809,93.1
200810,81.6
200811,67.6
200812,53.1
200901,60.2
200902,62.7
200903,69.2
200904,76.4
200905,89.3
200906,89.6
200907,100.7
200908,96.4
200909,92.9
200910,75.5
200911,66.5
200912,57.0
201001,57.0
201002,61.4
201003,68.2
201004,69.7
201005,77.6
201006,91.6
201007,97.7
201008,95.2
201009,90.1
201010,78.7
201011,64.6
201012,60.1
201101,54.1
201102,61.6
201103,66.3
201104,73.6
201105,79.1
201106,89.2
201107,96.8
201108,97.1
201109,93.5
201110,78.7
201111,62.7
201112,58.0
201201,64.4
201202,66.0
201203,70.0
201204,74.8
201205,85.3
201206,90.7
201207,96.3
201208,99.9
201209,94.1
201210,79.9
201211,69.3
201212,58.5
201301,57.9
201302,63.0
201303,72.4
201304,79.4
201305,84.9
201306,93.3
201307,100.5
201308,95.3
201309,88.4
201310,78.5
201311,69.0
201312,59.4
201401,66.7
201402,67.0
201403,73.9
201404,78.8
201405,86.4
201406,94.7
201407,99.1
201408,97.4
201409,92.5
201410,83.1
201411,69.0
201412,61.4
201501,58.1
201502,70.8
201503,77.4
201504,78.4
201505,81.4
201506,96.6
201507,96.0
201508,96.6
201509,92.6
201510,83.4
201511,64.1
201512,57.3
201601,60.3
201602,68.5
201603,71.6
201604,78.4
201605,84.3
201606,95.8
201607,99.7
201608,98.4
201609,91.5
201610,79.1
201611,69.9
201612,58.0
201701,57.2
201702,63.9
201703,71.6
201704,77.5
201705,84.9
201706,95.7
201707,101.9
201708,99.7
201709,90.8
201710,81.7
201711,70.4
201712,62.5
201801,62.3
201802,66.2
201803,68.9
201804,78.7
201805,83.9
201806,93.4
201807,101.2
201808,97.5
201809,91.7
201810,80.2
201811,69.6
201812,57.8
201901,62.5
201902,58.6
201903,67.8
201904,79.6
201905,78.3
201906,94.8
201907,97.9
201908,97.8
201909,89.5
201910,78.8
201911,69.8
201912,60.2
202001,56.5
202002,68.3
202003,67.4
202004,74.2
202005,87.0
202006,92.9
202007,99.9
202008,100.1
202009,93.3
202010,85.1
202011,66.9
202012,61.3
202101,62.1
202102,65.9
202103,68.9
202104,80.6
202105,87.2
202106,96.4
202107,102.8
202108,99.5
202109,92.9
202110,77.2
202111,67.3
202112,57.1
202201,61.2
202202,67.9
202203,73.5
202204,77.4
202205,84.4
202206,94.7
202207,100.3
202208,100.9
202209,94.7
202210,83.8
202211,65.0
202212,55.3
