Bakersfield, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200201,37.6
200202,41.1
200203,44.3
200204,53.5
200205,56.6
200206,65.8
200207,72.0
200208,67.5
200209,64.9
200210,53.5
200211,46.2
200212,41.7
200301,43.1
200302,42.6
200303,47.3
200304,48.1
200305,58.1
200306,66.3
200307,74.1
200308,68.9
200309,67.2
200310,59.3
200311,44.5
200312,41.9
200401,41.8
200402,43.2
200403,52.0
200404,53.6
200405,57.3
200406,64.0
200407,70.0
200408,69.0
200409,62.4
200410,53.8
200411,42.8
200412,36.8
200501,42.3
200502,44.7
200503,47.0
200504,47.2
200505,56.1
200506,60.2
200507,74.0
200508,70.8
200509,59.8
200510,53.7
200511,45.6
200512,42.5
200601,39.4
200602,40.2
200603,42.4
200604,49.9
200605,59.2
200606,68.2
200607,74.6
200608,67.5
200609,62.9
200610,51.6
200611,45.8
200612,37.1
200701,32.6
200702,41.6
200703,48.0
200704,52.4
200705,59.1
200706,65.3
200707,70.4
200708,70.0
200709,62.3
200710,52.8
200711,47.3
200712,36.3
200801,40.1
200802,41.9
200803,45.8
200804,48.9
200805,58.6
200806,65.6
200807,72.5
200808,72.0
200809,65.0
200810,54.6
200811,48.1
200812,38.6
200901,40.7
200902,44.1
200903,46.4
200904,49.8
200905,63.3
200906,64.9
200907,72.6
200908,69.2
200909,68.0
200910,52.7
200911,43.4
200912,39.2
201001,41.7
201002,44.2
201003,43.6
201004,46.7
201005,52.7
201006,63.8
201007,70.2
201008,66.8
201009,63.7
201010,58.0
201011,43.1
201012,44.1
201101,39.2
201102,37.1
201103,44.9
201104,48.1
201105,52.7
201106,62.2
201107,69.8
201108,68.1
201109,66.3
201110,54.6
201111,43.1
201112,32.3
201201,38.3
201202,42.4
201203,44.6
201204,51.0
201205,57.3
201206,63.3
201207,68.9
201208,73.2
201209,67.0
201210,55.8
201211,46.4
201212,41.1
201301,34.7
201302,38.8
201303,47.8
201304,53.2
201305,59.6
201306,66.7
201307,73.8
201308,69.3
201309,64.5
201310,52.3
201311,46.5
201312,35.2
201401,41.0
201402,45.9
201403,49.6
201404,53.8
201405,60.5
201406,67.4
201407,74.6
201408,71.7
201409,68.5
201410,58.6
201411,48.9
201412,45.2
201501,41.6
201502,46.3
201503,50.4
201504,51.7
201505,57.6
201506,69.1
201507,72.2
201508,70.6
201509,67.3
201510,61.0
201511,41.9
201512,37.5
201601,42.5
201602,43.1
201603,48.5
201604,54.6
201605,60.5
201606,68.6
201607,71.8
201608,71.4
201609,64.6
201610,56.0
201611,47.3
201612,41.0
201701,42.2
201702,47.1
201703,47.4
201704,51.2
201705,59.8
201706,69.1
201707,75.5
201708,75.3
201709,66.9
201710,53.8
201711,49.1
201712,36.8
201801,44.3
201802,40.9
201803,47.8
201804,53.8
201805,59.8
201806,66.8
201807,77.0
201808,70.9
201809,65.5
201810,56.9
201811,46.7
201812,43.4
201901,43.4
201902,40.2
201903,46.2
201904,55.1
201905,56.8
201906,68.1
201907,71.5
201908,72.0
201909,64.8
201910,51.3
201911,46.0
201912,43.9
202001,39.6
202002,41.2
202003,46.7
202004,54.1
202005,59.4
202006,65.3
202007,71.2
202008,74.3
202009,67.8
202010,59.1
202011,44.0
202012,38.5
202101,40.6
202102,42.3
202103,45.4
202104,52.8
202105,60.8
202106,70.4
202107,77.2
202108,72.4
202109,67.4
202110,54.0
202111,47.2
202112,40.9
202201,39.0
202202,38.9
202203,48.0
202204,51.6
202205,58.4
202206,68.0
202207,73.2
202208,73.8
202209,70.1
202210,59.3
202211,41.5
202212,41.3
