San Diego, California December Precipitation
Units: Inches
Base Period: 1942-2022
Missing: -99
Date,Value,Anomaly
200201,0.32,-1.59
200202,0.17,-1.54
200203,0.46,-1.14
200204,0.63,-0.07
200205,0.00,-0.22
200206,0.00,-0.05
200207,0.00,-0.04
200208,0.00,-0.06
200209,0.31,0.15
200210,0.04,-0.37
200211,0.32,-0.75
200212,1.98,0.34
200301,0.02,-1.89
200302,4.88,3.17
200303,1.36,-0.24
200304,1.41,0.71
200305,0.30,0.08
200306,0.00,-0.05
200307,0.00,-0.04
200308,0.00,-0.06
200309,0.00,-0.16
200310,0.00,-0.41
200311,0.60,-0.47
200312,0.61,-1.03
200401,0.34,-1.57
200402,2.81,1.10
200403,0.22,-1.38
200404,0.60,-0.10
200405,0.00,-0.22
200406,0.00,-0.05
200407,0.00,-0.04
200408,0.00,-0.06
200409,0.00,-0.16
200410,4.98,4.57
200411,0.33,-0.74
200412,4.01,2.37
200501,4.50,2.59
200502,5.83,4.12
200503,2.12,0.52
200504,0.59,-0.11
200505,0.12,-0.10
200506,0.02,-0.03
200507,0.01,-0.03
200508,0.00,-0.06
200509,0.10,-0.06
200510,0.46,0.05
200511,0.12,-0.95
200512,0.25,-1.39
200601,0.36,-1.55
200602,1.11,-0.60
200603,1.36,-0.24
200604,0.88,0.18
200605,0.77,0.55
200606,0.00,-0.05
200607,0.04,0.00
200608,0.01,-0.05
200609,0.00,-0.16
200610,0.76,0.35
200611,0.15,-0.92
200612,0.71,-0.93
200701,0.51,-1.40
200702,1.13,-0.58
200703,0.09,-1.51
200704,0.46,-0.24
200705,0.00,-0.22
200706,0.00,-0.05
200707,0.00,-0.04
200708,0.00,-0.06
200709,0.05,-0.11
200710,0.37,-0.04
200711,0.97,-0.10
200712,0.80,-0.84
200801,3.34,1.43
200802,1.21,-0.50
200803,0.26,-1.34
200804,0.00,-0.70
200805,0.23,0.01
200806,0.02,-0.03
200807,0.00,-0.04
200808,0.00,-0.06
200809,0.00,-0.16
200810,0.18,-0.23
200811,2.49,1.42
200812,3.38,1.74
200901,0.08,-1.83
200902,2.63,0.92
200903,0.18,-1.42
200904,0.14,-0.56
200905,0.04,-0.18
200906,0.03,-0.02
200907,0.00,-0.04
200908,0.00,-0.06
200909,0.00,-0.16
200910,0.00,-0.41
200911,0.12,-0.95
200912,2.28,0.64
201001,3.38,1.47
201002,2.28,0.57
201003,0.68,-0.92
201004,1.78,1.08
201005,0.01,-0.21
201006,0.02,-0.03
201007,0.02,-0.02
201008,0.00,-0.06
201009,0.03,-0.13
201010,2.18,1.77
201011,0.89,-0.18
201012,5.01,3.37
201101,0.30,-1.61
201102,2.10,0.39
201103,1.46,-0.14
201104,0.26,-0.44
201105,0.36,0.14
201106,0.03,-0.02
201107,0.00,-0.04
201108,0.00,-0.06
201109,0.13,-0.03
201110,0.46,0.05
201111,3.13,2.06
201112,0.86,-0.78
201201,0.40,-1.51
201202,1.19,-0.52
201203,0.97,-0.63
201204,0.87,0.17
201205,0.02,-0.20
201206,0.00,-0.05
201207,0.00,-0.04
201208,0.00,-0.06
201209,0.00,-0.16
201210,0.70,0.29
201211,0.29,-0.78
201212,2.19,0.55
201301,1.21,-0.70
201302,0.63,-1.08
201303,1.22,-0.38
201304,0.01,-0.69
201305,0.26,0.04
201306,0.00,-0.05
201307,0.05,0.01
201308,0.00,-0.06
201309,0.00,-0.16
201310,0.25,-0.16
201311,1.48,0.41
201312,0.46,-1.18
201401,0.01,-1.90
201402,1.00,-0.71
201403,1.28,-0.32
201404,0.54,-0.16
201405,0.00,-0.22
201406,0.00,-0.05
201407,0.00,-0.04
201408,0.08,0.02
201409,0.00,-0.16
201410,0.00,-0.41
201411,0.37,-0.70
201412,4.50,2.86
201501,0.42,-1.49
201502,0.28,-1.43
201503,0.93,-0.67
201504,0.02,-0.68
201505,2.39,2.17
201506,0.04,-0.01
201507,1.72,1.68
201508,0.01,-0.05
201509,1.24,1.08
201510,0.43,0.02
201511,1.55,0.48
201512,0.89,-0.75
201601,3.21,1.30
201602,0.05,-1.66
201603,0.76,-0.84
201604,0.55,-0.15
201605,0.44,0.22
201606,0.00,-0.05
201607,0.00,-0.04
201608,0.00,-0.06
201609,0.32,0.16
201610,0.07,-0.34
201611,0.61,-0.46
201612,4.22,2.58
201701,3.02,1.11
201702,3.71,2.00
201703,0.08,-1.52
201704,0.01,-0.69
201705,0.92,0.70
201706,0.02,-0.03
201707,0.00,-0.04
201708,0.00,-0.06
201709,0.08,-0.08
201710,0.00,-0.41
201711,0.02,-1.05
201712,0.07,-1.57
201801,1.78,-0.13
201802,0.36,-1.35
201803,0.95,-0.65
201804,0.02,-0.68
201805,0.12,-0.10
201806,0.00,-0.05
201807,0.00,-0.04
201808,0.02,-0.04
201809,0.00,-0.16
201810,0.57,0.16
201811,0.81,-0.26
201812,3.02,1.38
201901,2.80,0.89
201902,3.43,1.72
201903,1.23,-0.37
201904,0.16,-0.54
201905,0.80,0.58
201906,0.01,-0.04
201907,0.00,-0.04
201908,0.00,-0.06
201909,0.11,-0.05
201910,0.00,-0.41
201911,2.72,1.65
201912,4.03,2.39
202001,0.48,-1.43
202002,0.38,-1.33
202003,2.16,0.56
202004,3.68,2.98
202005,0.02,-0.20
202006,0.14,0.09
202007,0.00,-0.04
202008,0.00,-0.06
202009,0.00,-0.16
202010,0.12,-0.29
202011,0.26,-0.81
202012,0.60,-1.04
202101,1.80,-0.11
202102,0.10,-1.61
202103,1.48,-0.12
202104,0.07,-0.63
202105,0.07,-0.15
202106,0.01,-0.04
202107,0.00,-0.04
202108,0.23,0.17
202109,0.50,0.34
202110,1.01,0.60
202111,0.00,-1.07
202112,2.58,0.94
202201,0.16,-1.75
202202,0.70,-1.01
202203,1.61,0.01
202204,0.02,-0.68
202205,0.02,-0.20
202206,0.00,-0.05
202207,0.00,-0.04
202208,0.00,-0.06
202209,0.65,0.49
202210,0.09,-0.32
202211,1.07,0.00
202212,1.58,-0.06
