Temp,Production
35,62
35,51
36,48
36,58
37,60
37,67
38,70
38,75
39,77
39,74
40,70
40,85
41,100
41,85
42,90
42,98
43,106
43,120
44,127
44,115
45,115
45,130
46,135
46,126
47,137
47,125
48,140
48,132
49,160
49,143
50,145
50,155
51,162
51,153
52,153
52,158
53,154
53,161
54,160
54,164
55,159
55,160
56,164
56,162
57,168
57,175
58,164
58,168
59,165
59,172
60,165
60,170
61,168
61,172
62,176
62,180
63,158
63,165
64,155
64,170
65,178
65,160
66,166
66,167
67,170
67,178
68,180
68,176
69,167
69,172
70,155
70,166
71,168
71,174
72,170
72,175
73,160
73,176
74,172
74,178
75,168
75,178
76,170
76,174
77,170
77,162
78,154
78,165
79,156
79,155
80,157
80,155
81,149
81,160
82,147
82,152
83,148
83,147
84,155
84,140
85,146
85,141
86,142
86,139
87,125
87,137
88,134
88,128
89,127
89,129
90,123
90,135
91,117
91,122
92,98
92,121
93,108
93,113
94,107
94,106
95,90
95,103
96,98
96,100
97,93
97,90
98,85
98,95
99,72
99,86
100,70
100,65
101,71
101,80
102,62
102,70
103,65
103,55
104,58
104,50
105,52
105,60
