Project Number,Date,Day Number, Cost Per Day , Revenue Per Day , Cumulative Cost , Cumulative Revenue 
106,2024-01-04,1,302.71,339.04,302.71,339.04
106,2024-01-05,2,302.71,339.04,605.43,678.08
106,2024-01-06,3,302.71,339.04,908.14,1017.12
106,2024-01-07,4,302.71,339.04,1210.86,1356.16
106,2024-01-08,5,302.71,339.04,1513.57,1695.2
106,2024-01-09,6,3015.1,3322.66,4528.67,5017.86
106,2024-01-10,7,3015.1,3322.66,7543.77,8340.52
106,2024-01-11,8,3015.1,3322.66,10558.87,11663.19
106,2024-01-12,9,3015.1,3322.66,13573.96,14985.85
106,2024-01-13,10,3015.1,3322.66,16589.06,18308.51
106,2024-01-14,11,3015.1,3322.66,19604.16,21631.17
106,2024-01-15,12,3015.1,3322.66,22619.26,24953.84
106,2024-01-16,13,3015.1,3322.66,25634.36,28276.5
106,2024-01-17,14,3015.1,3322.66,28649.46,31599.16
106,2024-01-18,15,3015.1,3322.66,31664.56,34921.83
106,2024-01-19,16,3015.1,3322.66,34679.65,38244.49
106,2024-01-20,17,3015.1,3322.66,37694.75,41567.15
106,2024-01-21,18,3015.1,3322.66,40709.85,44889.81
106,2024-01-22,19,3015.1,3322.66,43724.95,48212.48
106,2024-01-23,20,3015.1,3322.66,46740.05,51535.14
106,2024-01-24,21,3015.1,3322.66,49755.15,54857.8
106,2024-01-25,22,3015.1,3322.66,52770.25,58180.46
106,2024-01-26,23,3015.1,3322.66,55785.34,61503.13
106,2024-01-27,24,3015.1,3322.66,58800.44,64825.79
106,2024-01-28,25,3015.1,3322.66,61815.54,68148.45
106,2024-01-29,26,3015.1,3322.66,64830.64,71471.12
106,2024-01-30,27,3015.1,3322.66,67845.74,74793.78
106,2024-01-31,28,3015.1,3322.66,70860.84,78116.44
106,2024-02-01,29,3015.1,3322.66,73875.94,81439.1
106,2024-02-02,30,3015.1,3322.66,76891.03,84761.77
106,2024-02-03,31,3015.1,3322.66,79906.13,88084.43
106,2024-02-04,32,3015.1,3322.66,82921.23,91407.09
106,2024-02-05,33,3015.1,3322.66,85936.33,94729.75
106,2024-02-06,34,3015.1,3322.66,88951.43,98052.42
106,2024-02-07,35,3015.1,3322.66,91966.53,101375.08
106,2024-02-08,36,3015.1,3322.66,94981.63,104697.74
106,2024-02-09,37,3015.1,3322.66,97996.72,108020.41
106,2024-02-10,38,3015.1,3322.66,101011.82,111343.07
106,2024-02-11,39,3015.1,3322.66,104026.92,114665.73
106,2024-02-12,40,3015.1,3322.66,107042.02,117988.39
106,2024-02-13,41,3015.1,3322.66,110057.12,121311.06
106,2024-02-14,42,3015.1,3322.66,113072.22,124633.72
106,2024-02-15,43,3015.1,3322.66,116087.32,127956.38
106,2024-02-16,44,3015.1,3322.66,119102.41,131279.04
106,2024-02-17,45,3015.1,3322.66,122117.51,134601.71
106,2024-02-18,46,3015.1,3322.66,125132.61,137924.37
106,2024-02-19,47,3015.1,3322.66,128147.71,141247.03
106,2024-02-20,48,3015.1,3322.66,131162.81,144569.7
106,2024-02-21,49,3015.1,3322.66,134177.91,147892.36
106,2024-02-22,50,3015.1,3322.66,137193.01,151215.02
106,2024-02-23,51,3015.1,3322.66,140208.1,154537.68
106,2024-02-24,52,3015.1,3322.66,143223.2,157860.35
106,2024-02-25,53,3015.1,3322.66,146238.3,161183.01
106,2024-02-26,54,3015.1,3322.66,149253.4,164505.67
106,2024-02-27,55,3015.1,3322.66,152268.5,167828.33
106,2024-02-28,56,3015.1,3322.66,155283.6,171151
106,2024-02-29,57,4246.81,4739.13,159530.41,175890.13
106,2024-03-01,58,1534.43,1755.51,161064.83,177645.64
106,2024-03-02,59,1534.43,1755.51,162599.26,179401.14
106,2024-03-03,60,1534.43,1755.51,164133.68,181156.65
106,2024-03-04,61,1534.43,1755.51,165668.11,182912.16
106,2024-03-05,62,1534.43,1755.51,167202.53,184667.67
106,2024-03-06,63,1534.43,1755.51,168736.96,186423.17
106,2024-03-07,64,1534.43,1755.51,170271.38,188178.68
106,2024-03-08,65,1534.43,1755.51,171805.81,189934.19
106,2024-03-09,66,1534.43,1755.51,173340.24,191689.7
106,2024-03-10,67,1534.43,1755.51,174874.66,193445.2
106,2024-03-11,68,1534.43,1755.51,176409.09,195200.71
106,2024-03-12,69,1534.43,1755.51,177943.51,196956.22
106,2024-03-13,70,1534.43,1755.51,179477.94,198711.73
106,2024-03-14,71,1534.43,1755.51,181012.36,200467.24
106,2024-03-15,72,1534.43,1755.51,182546.79,202222.74
106,2024-03-16,73,1534.43,1755.51,184081.21,203978.25
106,2024-03-17,74,1534.43,1755.51,185615.64,205733.76
106,2024-03-18,75,1534.43,1755.51,187150.06,207489.27
106,2024-03-19,76,1534.43,1755.51,188684.49,209244.77
106,2024-03-20,77,1534.43,1755.51,190218.91,211000.28
106,2024-03-21,78,1534.43,1755.51,191753.34,212755.79
106,2024-03-22,79,1534.43,1755.51,193287.76,214511.3
106,2024-03-23,80,1534.43,1755.51,194822.19,216266.8
106,2024-03-24,81,1534.43,1755.51,196356.62,218022.31
106,2024-03-25,82,1534.43,1755.51,197891.04,219777.82
106,2024-03-26,83,1534.43,1755.51,199425.47,221533.33
106,2024-03-27,84,1534.43,1755.51,200959.89,223288.84
106,2024-03-28,85,1534.43,1755.51,202494.32,225044.34
106,2024-03-29,86,1534.43,1755.51,204028.74,226799.85
106,2024-03-30,87,1534.43,1755.51,205563.17,228555.36
106,2024-03-31,88,1534.43,1755.51,207097.59,230310.87
106,2024-04-01,89,1534.43,1755.51,208632.02,232066.37
106,2024-04-02,90,1534.43,1755.51,210166.44,233821.88
106,2024-04-03,91,1534.43,1755.51,211700.87,235577.39
106,2024-04-04,92,1534.43,1755.51,213235.29,237332.9
106,2024-04-05,93,1534.43,1755.51,214769.72,239088.4
106,2024-04-06,94,1534.43,1755.51,216304.14,240843.91
106,2024-04-07,95,1534.43,1755.51,217838.57,242599.42
106,2024-04-08,96,1534.43,1755.51,219372.99,244354.93
106,2024-04-09,97,1534.43,1755.51,220907.42,246110.44
106,2024-04-10,98,1534.43,1755.51,222441.85,247865.94
106,2024-04-11,99,1534.43,1755.51,223976.27,249621.45
106,2024-04-12,100,1534.43,1755.51,225510.7,251376.96
106,2024-04-13,101,1534.43,1755.51,227045.12,253132.47
106,2024-04-14,102,1534.43,1755.51,228579.55,254887.97
106,2024-04-15,103,1534.43,1755.51,230113.97,256643.48
106,2024-04-16,104,1534.43,1755.51,231648.4,258398.99
106,2024-04-17,105,1534.43,1755.51,233182.82,260154.5
106,2024-04-18,106,1534.43,1755.51,234717.25,261910
106,2024-04-19,107,1534.43,1755.51,236251.67,263665.51
106,2024-04-20,108,1534.43,1755.51,237786.1,265421.02
106,2024-04-21,109,1534.43,1755.51,239320.52,267176.53
106,2024-04-22,110,1534.43,1755.51,240854.95,268932.04
106,2024-04-23,111,1534.43,1755.51,242389.37,270687.54
106,2024-04-24,112,1534.43,1755.51,243923.8,272443.05
106,2024-04-25,113,1534.43,1755.51,245458.23,274198.56
106,2024-04-26,114,1534.43,1755.51,246992.65,275954.07
106,2024-04-27,115,1534.43,1755.51,248527.08,277709.57
106,2024-04-28,116,1534.43,1755.51,250061.5,279465.08
106,2024-04-29,117,1534.43,1755.51,251595.93,281220.59
106,2024-04-30,118,1534.43,1755.51,253130.35,282976.1
106,2024-05-01,119,1534.43,1755.51,254664.78,284731.6
106,2024-05-02,120,1534.43,1755.51,256199.2,286487.11
106,2024-05-03,121,1534.43,1755.51,257733.63,288242.62
