Project Number,Date,Day Number,Cost Per Day,Revenue Per Day,Cumulative Cost,Cumulative Revenue
106,2024-01-04,1,424.9638462,475.9595077,424.9638462,475.9595077
106,2024-01-05,2,424.9638462,475.9595077,849.9276923,951.9190154
106,2024-01-06,3,0,0,849.9276923,951.9190154
106,2024-01-07,4,0,0,849.9276923,951.9190154
106,2024-01-08,5,424.9638462,475.9595077,1274.891538,1427.878523
106,2024-01-09,6,4136.648057,4558.812139,5411.539595,5986.690662
106,2024-01-10,7,4136.648057,4558.812139,9548.187652,10545.5028
106,2024-01-11,8,4136.648057,4558.812139,13684.83571,15104.31494
106,2024-01-12,9,4136.648057,4558.812139,17821.48377,19663.12708
106,2024-01-13,10,0,0,17821.48377,19663.12708
106,2024-01-14,11,0,0,17821.48377,19663.12708
106,2024-01-15,12,4136.648057,4558.812139,21958.13182,24221.93922
106,2024-01-16,13,4136.648057,4558.812139,26094.77988,28780.75136
106,2024-01-17,14,4136.648057,4558.812139,30231.42794,33339.5635
106,2024-01-18,15,4136.648057,4558.812139,34368.07599,37898.37564
106,2024-01-19,16,4136.648057,4558.812139,38504.72405,42457.18778
106,2024-01-20,17,0,0,38504.72405,42457.18778
106,2024-01-21,18,0,0,38504.72405,42457.18778
106,2024-01-22,19,4136.648057,4558.812139,42641.37211,47015.99992
106,2024-01-23,20,4136.648057,4558.812139,46778.02016,51574.81206
106,2024-01-24,21,4136.648057,4558.812139,50914.66822,56133.62419
106,2024-01-25,22,4136.648057,4558.812139,55051.31628,60692.43633
106,2024-01-26,23,4136.648057,4558.812139,59187.96433,65251.24847
106,2024-01-27,24,0,0,59187.96433,65251.24847
106,2024-01-28,25,0,0,59187.96433,65251.24847
106,2024-01-29,26,4136.648057,4558.812139,63324.61239,69810.06061
106,2024-01-30,27,4136.648057,4558.812139,67461.26045,74368.87275
106,2024-01-31,28,4136.648057,4558.812139,71597.9085,78927.68489
106,2024-02-01,29,4136.648057,4558.812139,75734.55656,83486.49703
106,2024-02-02,30,4136.648057,4558.812139,79871.20462,88045.30917
106,2024-02-03,31,0,0,79871.20462,88045.30917
106,2024-02-04,32,0,0,79871.20462,88045.30917
106,2024-02-05,33,4136.648057,4558.812139,84007.85267,92604.12131
106,2024-02-06,34,4136.648057,4558.812139,88144.50073,97162.93345
106,2024-02-07,35,4136.648057,4558.812139,92281.14879,101721.7456
106,2024-02-08,36,4136.648057,4558.812139,96417.79684,106280.5577
106,2024-02-09,37,4136.648057,4558.812139,100554.4449,110839.3699
106,2024-02-10,38,0,0,100554.4449,110839.3699
106,2024-02-11,39,0,0,100554.4449,110839.3699
106,2024-02-12,40,4136.648057,4558.812139,104691.093,115398.182
106,2024-02-13,41,4136.648057,4558.812139,108827.741,119956.9941
106,2024-02-14,42,4136.648057,4558.812139,112964.3891,124515.8063
106,2024-02-15,43,4136.648057,4558.812139,117101.0371,129074.6184
106,2024-02-16,44,4136.648057,4558.812139,121237.6852,133633.4306
106,2024-02-17,45,0,0,121237.6852,133633.4306
106,2024-02-18,46,0,0,121237.6852,133633.4306
106,2024-02-19,47,4136.648057,4558.812139,125374.3332,138192.2427
106,2024-02-20,48,4136.648057,4558.812139,129510.9813,142751.0548
106,2024-02-21,49,4136.648057,4558.812139,133647.6294,147309.867
106,2024-02-22,50,4136.648057,4558.812139,137784.2774,151868.6791
106,2024-02-23,51,4136.648057,4558.812139,141920.9255,156427.4913
106,2024-02-24,52,0,0,141920.9255,156427.4913
106,2024-02-25,53,0,0,141920.9255,156427.4913
106,2024-02-26,54,4136.648057,4558.812139,146057.5735,160986.3034
106,2024-02-27,55,4136.648057,4558.812139,150194.2216,165545.1155
106,2024-02-28,56,4136.648057,4558.812139,154330.8696,170103.9277
106,2024-02-29,57,5868.184289,6550.078806,160199.0539,176654.0065
106,2024-03-01,58,2156.500078,2467.226174,162355.554,179121.2327
106,2024-03-02,59,0,0,162355.554,179121.2327
106,2024-03-03,60,0,0,162355.554,179121.2327
106,2024-03-04,61,2156.500078,2467.226174,164512.0541,181588.4588
106,2024-03-05,62,2156.500078,2467.226174,166668.5542,184055.685
106,2024-03-06,63,2156.500078,2467.226174,168825.0542,186522.9112
106,2024-03-07,64,2156.500078,2467.226174,170981.5543,188990.1374
106,2024-03-08,65,2156.500078,2467.226174,173138.0544,191457.3635
106,2024-03-09,66,0,0,173138.0544,191457.3635
106,2024-03-10,67,0,0,173138.0544,191457.3635
106,2024-03-11,68,2156.500078,2467.226174,175294.5545,193924.5897
106,2024-03-12,69,2156.500078,2467.226174,177451.0545,196391.8159
106,2024-03-13,70,2156.500078,2467.226174,179607.5546,198859.0421
106,2024-03-14,71,2156.500078,2467.226174,181764.0547,201326.2682
106,2024-03-15,72,2156.500078,2467.226174,183920.5548,203793.4944
106,2024-03-16,73,0,0,183920.5548,203793.4944
106,2024-03-17,74,0,0,183920.5548,203793.4944
106,2024-03-18,75,2156.500078,2467.226174,186077.0549,206260.7206
106,2024-03-19,76,2156.500078,2467.226174,188233.5549,208727.9467
106,2024-03-20,77,2156.500078,2467.226174,190390.055,211195.1729
106,2024-03-21,78,2156.500078,2467.226174,192546.5551,213662.3991
106,2024-03-22,79,2156.500078,2467.226174,194703.0552,216129.6253
106,2024-03-23,80,0,0,194703.0552,216129.6253
106,2024-03-24,81,0,0,194703.0552,216129.6253
106,2024-03-25,82,2156.500078,2467.226174,196859.5553,218596.8514
106,2024-03-26,83,2156.500078,2467.226174,199016.0553,221064.0776
106,2024-03-27,84,2156.500078,2467.226174,201172.5554,223531.3038
106,2024-03-28,85,2156.500078,2467.226174,203329.0555,225998.53
106,2024-03-29,86,2156.500078,2467.226174,205485.5556,228465.7561
106,2024-03-30,87,0,0,205485.5556,228465.7561
106,2024-03-31,88,0,0,205485.5556,228465.7561
106,2024-04-01,89,2156.500078,2467.226174,207642.0556,230932.9823
106,2024-04-02,90,2156.500078,2467.226174,209798.5557,233400.2085
106,2024-04-03,91,2156.500078,2467.226174,211955.0558,235867.4347
106,2024-04-04,92,2156.500078,2467.226174,214111.5559,238334.6608
106,2024-04-05,93,2156.500078,2467.226174,216268.056,240801.887
106,2024-04-06,94,0,0,216268.056,240801.887
106,2024-04-07,95,0,0,216268.056,240801.887
106,2024-04-08,96,2156.500078,2467.226174,218424.556,243269.1132
106,2024-04-09,97,2156.500078,2467.226174,220581.0561,245736.3394
106,2024-04-10,98,2156.500078,2467.226174,222737.5562,248203.5655
106,2024-04-11,99,2156.500078,2467.226174,224894.0563,250670.7917
106,2024-04-12,100,2156.500078,2467.226174,227050.5563,253138.0179
